n,AUC_diff,Method
500,0.9996031746031746,NN
500,1.0,NN
500,0.9974206349206348,NN
500,0.9990079365079365,NN
1000,0.9941205533596837,NN
1000,0.9876976284584981,NN
1000,0.9984189723320158,NN
1000,0.9898715415019763,NN
1000,0.9968379446640316,NN
1000,0.9959486166007905,NN
1000,0.9932312252964427,NN
1000,0.9970849802371542,NN
1000,0.9965415019762847,NN
1000,0.9933794466403162,NN
100,1.0,SuperLearner
100,0.9642857142857143,SuperLearner
100,0.9928571428571429,SuperLearner
100,0.9928571428571429,SuperLearner
100,1.0,SuperLearner
100,1.0,SuperLearner
100,0.9857142857142858,SuperLearner
100,0.9785714285714286,SuperLearner
100,1.0,SuperLearner
100,0.9857142857142858,SuperLearner
300,0.9632,SuperLearner
300,0.9423999999999999,SuperLearner
300,0.8959999999999999,SuperLearner
300,0.984,SuperLearner
300,0.9786666666666667,SuperLearner
300,0.9663999999999999,SuperLearner
300,0.9888,SuperLearner
300,0.9696,SuperLearner
300,0.9717333333333333,SuperLearner
300,0.9882666666666667,SuperLearner
500,0.9918650793650794,SuperLearner
500,0.9956349206349207,SuperLearner
500,0.9972222222222222,SuperLearner
500,1.0,SuperLearner
500,0.9978174603174603,SuperLearner
500,0.9998015873015873,SuperLearner
500,0.9996031746031746,SuperLearner
500,1.0,SuperLearner
500,0.9974206349206348,SuperLearner
500,0.9990079365079365,SuperLearner
1000,0.9941205533596837,SuperLearner
1000,0.9876976284584981,SuperLearner
1000,0.9984189723320158,SuperLearner
1000,0.9898715415019763,SuperLearner
1000,0.9968379446640316,SuperLearner
1000,0.9959486166007905,SuperLearner
1000,0.9932312252964427,SuperLearner
1000,0.9970849802371542,SuperLearner
1000,0.9965415019762847,SuperLearner
1000,0.9933794466403162,SuperLearner
