method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
S-CPI_sqd,569,6.109563827514648,0.3972331511372652,1.0,1.0,7.554501871595454e-52,0.42725441008428605,3.5164975808529693e-12,0.5420110336051046,0.012580949602717691,0.26166351661593645,0.7840875630701456,1.0,1.0,4.4559408827030265e-302,1.0,0.668648956359764,0.9959180898822252,0.9999999997561049,0.5536242010922531,0.4855903388828421,0.24078248558359683,1.0,0.0,1.0,0.0,0.9698178786201788,9.862986190053597e-15,0.0,0.9999974110107837,2.306700643782895e-12,0.9999995954591795,1.0
S-CPI2,569,7.002597808837891,0.6147396222371577,0.427757449130042,0.948346885293155,0.09691175147807485,0.31020304657980535,0.21129088319129746,0.3920736273017296,0.24658438347837408,0.3937524042338366,0.942991743949263,0.7833062147591872,0.7784980909056678,0.11912188324873607,0.706116963628364,0.6017280984003632,0.9852135436472326,0.9171364615909747,0.7977553237307163,0.3938088809850243,0.0780434849320182,0.9532997595173281,0.14858317484983052,0.910046958944691,0.19387589144898587,0.9860344016334126,0.03559067509699125,0.08940181418212156,0.7273783018598309,0.3558075036782915,0.8768274972204134,0.958813254161329
S-CPI2_sqrt,569,6.991103649139404,0.5004148470154377,0.5018476572079011,0.5108523483818312,0.1661205299922181,0.4999410557357896,0.49909481212972984,0.4988891340383226,0.4996061071235952,0.5000883367154285,0.5001966304122131,0.5027060599894889,0.5088344058408993,0.491637004801092,0.5366828304987393,0.500026544342422,0.5005821180413665,0.5014567702585218,0.500034964206732,0.500016237497201,0.4998526783972251,0.5317933944889413,0.4780399153274968,0.5921772930949114,0.3948295815772729,0.500292813181774,0.4977103756228958,0.4928983251186759,0.500963733964975,0.49900323576128897,0.5005383052172534,0.5539114412484945
S-CPI2_n,569,7.001138687133789,0.5061177740818037,0.5098767409863562,0.6180488046062331,0.09719165055696743,0.49871754682046,0.4894706033158693,0.49416130444087214,0.49508251808618414,0.49978443354316426,0.5023521204513085,0.5233629450978255,0.5950984582506149,0.4138828026895032,0.648885804997871,0.5002188060393846,0.5077050355874795,0.5193483048366202,0.5004112957582928,0.49986727511682555,0.49843699182044726,0.7599993902109565,0.30337849808143125,0.8293922917459465,0.2363628436984222,0.5037190086641463,0.4720987181562909,0.41283350262005325,0.5099169959698014,0.4902088679221767,0.5070620341888841,0.8095477368132247
S-CPI2_bt,569,7.2604615688323975,0.5093601585276878,0.5240015521076162,0.6627618348440135,6.302801299559987e-42,0.4987707392380208,0.4883496556588707,0.4936155759488896,0.49569137905944605,0.49865854891792344,0.5027530279728026,0.5308685930315193,0.6222293732589731,0.404134795809331,0.8908856345356839,0.5008260642928029,0.5084756068915938,0.5179182384073047,0.5004440278501999,0.49990273617194997,0.49854600134055305,0.8724427612916191,0.1883151569167414,0.9995573086417145,6.165190694519525e-06,0.5036122738465983,0.47298486152771724,0.40050286954957237,0.507754770179841,0.484178931961975,0.506400275432373,0.9683566505899155
S-CPI2_sqd,569,7.618836402893066,0.9928319396229675,1.6842957690305647e-12,1.0,3.6065455249501804e-43,0.3219141661067174,3.2866405254034494e-07,6.191948054356539e-05,0.020586315737808124,0.2553963070366281,0.8647898556563285,1.0,1.0,0.0,1.0,0.5684241018342714,0.9997722803796698,1.0,0.5685603475228458,0.47487322201414256,0.18308968449027363,1.0,0.0,1.0,0.0,0.9351430480649394,5.061271323694304e-32,0.0,0.9999995537235559,2.0968141805118366e-12,0.9959272248644327,1.0
LOCO,569,27.345028400421143,0.0229927793423946,0.043806025402949346,0.011591877390665467,0.8248605842901106,5.0436683180480094e-08,2.381874211671706e-06,7.797921822361841e-07,1.4776004669141383e-07,0.004404884223080284,1.5198901553252477e-07,0.0008018632647355296,3.938876078563875e-06,0.00026645575640849614,0.0030934446321528703,0.0013869593558358956,0.0008520526266411216,0.0013747540704099424,0.0005018942330051997,0.0004954278345261008,0.000498386171028753,3.0246569610487123e-05,0.0002344748914829661,5.786408896433962e-06,0.762001390228493,0.06974207226335537,0.12321379391817738,0.049853355915160366,0.0747348219680594,0.05629951341236785,0.0600504668848183,0.06727160263229522
LOCO_sqrt,569,27.3501033782959,0.1278052106716383,0.13666700345112703,0.08600232576746852,0.6824014120296935,0.00022167060237593246,0.0014864120616849936,0.0011369227019672203,0.0006916115521347201,0.059159080976387356,0.0005954944491335364,0.016274275260722382,0.0015759160589362913,0.020406039374170966,0.035231057307057445,0.007251817212962244,0.004456799117560245,0.007176169576123671,0.0036758733519253214,0.003670385388881683,0.0036835816015144372,0.002900074568581839,0.012700924611755805,0.0027643555162066313,0.6438479349339835,0.11752595124430476,0.18875133402998473,0.09107804039164757,0.13790745495827278,0.10152025367070433,0.12056209098700021,0.09017485399077707
LOCO_n,569,27.345901250839233,0.029610217088593137,0.050704140230004774,0.015349902246103057,0.8077463854857494,1.5033416333783436e-07,5.5777960780059374e-06,2.097348119349028e-06,4.783267308668619e-07,0.006379856783585517,4.7081272445163876e-07,0.0011657352237085538,8.553080155657866e-06,0.0005022891251834075,0.004215839515748375,0.0016337130637165981,0.0009997884459188372,0.001618865644527471,0.0006118708794885285,0.0006048186009327913,0.0006082765646746928,5.301660231029299e-05,0.00039963466401593187,1.3402723160205753e-05,0.7470695216231042,0.0734459037427921,0.12882917688869827,0.05290232507373391,0.07975869313848472,0.05970287977968815,0.06469152084386867,0.0690167929476037
LOCO_bt,569,27.59622812271118,5.3197424550630575e-109,6.48333450943677e-58,2.763641212318977e-97,1.0,0.0,0.0,0.0,0.0,1.2942130428627296e-105,0.0,3.874862366928823e-135,1.2396394816815921e-284,3.3569406632195923e-205,4.0081199854710466e-123,5.544119168077419e-61,5.550403560705185e-59,1.5043774776862266e-55,3.8849730205610246e-58,1.6978146645126582e-134,2.277608284074648e-77,7.99616234963901e-266,9.37484457680778e-219,0.0,0.9999999999907623,3.892384291375481e-22,2.63908013615238e-19,1.6388183898035517e-20,1.3958224034195182e-24,4.151999876313325e-20,5.0516912646946044e-33,4.6801823052923795e-07
