method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
S-CPI_sqd,569,23.80973172187805,9.573627963437022e-05,2.2153182716838406e-31,0.5694588546775027,5.979470003678346e-24,0.9897548537989277,0.07366871713229965,0.0,0.0,1.2215020273940187e-53,0.0011445914873272791,1.0,2.9016840946726184e-13,0.00015482219485660157,1.1467550406888259e-40,2.8113083688093815e-49,3.022070063955089e-27,0.0003398725931978526,3.7929149312107865e-06,0.9999796254191018,0.023118346210169522,6.140156063963839e-41,0.0,1.0,0.06544258888221294,1.0536741847882877e-116,5.17293124567674e-34,1.0,0.0,7.909532016761165e-51,1.0,0.7299269601168977
S-CPI2,569,106.23381876945496,2.6088268848607742e-05,0.30535341408900096,0.6094112787143954,0.1926187471381719,0.7088919530824536,0.33800589066920284,0.04696708678689841,0.008802640955803517,0.24037732280798885,0.7408828236781609,0.8482519899864136,0.5157242556953355,0.39182419601184276,0.17534406982856732,0.14936199534871336,0.44672960900711906,0.3198729543237936,0.41286406031327333,0.7574159736044773,0.5707016025738537,0.4057250495021121,0.1879778400528893,0.9748904793932929,0.5834487515015062,0.05199868410777943,0.27267737102406586,0.9948437183713263,0.01868912658384457,0.07680257555931504,0.9060390813463655,0.5381327831909712
S-CPI2_sqrt,569,106.13692140579224,0.4993291628596147,0.4943655726819225,0.5001585234825833,0.49792611370396384,0.5002899930568475,0.49933257300303435,0.49386921637501774,0.47234333770159687,0.497233412638473,0.5001498674557368,0.5028670035572654,0.4996436394848489,0.499835801140033,0.49636480017852674,0.49808112501254653,0.4997724581911894,0.49935228616698246,0.5000067847057893,0.5004523782637559,0.5002387491329521,0.49912902984251645,0.4874632247231538,0.5094454434965497,0.5018568314505852,0.4969163592795595,0.49813229950943144,0.5184350495474217,0.44272650708712813,0.4979899043822703,0.5025160250261236,0.5000554999061478
S-CPI2_n,569,106.73429250717163,0.4910402964891631,0.46421191783558047,0.5016817193163651,0.47848909797883227,0.5064136612709732,0.4931890579281591,0.4358062403901248,0.24550811301765768,0.4697266109223034,0.4994072337165766,0.5390323751971636,0.49250776235242644,0.4974484713773478,0.46320884079338365,0.4699585392104882,0.49549878667779074,0.493317432866261,0.49809132278931345,0.505800080494942,0.5025034305719401,0.5089727655977291,0.3835865788691877,0.5955072441148835,0.5174213495982353,0.4639453227887133,0.4814965295232918,0.6882911776346584,0.17096131768115713,0.4691768507341382,0.533075076279668,0.5011985618205614
S-CPI2_bt,569,106.40005040168762,0.49115655298090816,0.4781187404716404,0.5021220122117177,0.47513494202540646,0.5049534862605515,0.4949240329330753,0.42098847093151576,0.16880688861679383,0.4698071569202994,0.5003919254860031,0.5434722559398758,0.49938266828314326,0.49573504234592247,0.4661857991727213,0.46177111082282113,0.49317808646393896,0.49347417864044524,0.49535235116093906,0.5045965654083583,0.5015032969405678,0.4865732578685554,0.3403805092307919,0.6153747053110289,0.5301383096301678,0.46790380429597206,0.47812955455870854,0.7315940688091825,0.021973116352451704,0.4705579670855094,0.5352732890567512,0.5009176751367912
S-CPI2_sqd,569,106.8278067111969,4.588505753306701e-05,9.216682226987487e-210,0.7717959133536961,4.6127606773339767e-35,0.9329686037290428,0.02761365093732164,4.4572811108846553e-190,0.0,8.788044403889694e-39,0.5013304759547408,1.0,0.09942832255263989,0.023614048016174973,1.022774624546349e-49,2.1908931919560034e-49,0.0005014602885206565,0.0005124113990139431,0.19875574032845295,0.9923438251817923,0.8682162993081314,0.00015248027992001791,0.0,1.0,0.9999821037012834,1.7288786254867833e-46,5.983562269736663e-11,1.0,0.0,3.5006159072792795e-29,1.0,0.9102526459685363
LOCO,569,316.2523822784424,0.41439062515732145,0.2935069482584352,0.30838643216589007,0.4052016630337997,0.7196818691588859,0.3766359108918177,0.5799198720539793,0.012283230808354185,0.4203751191775126,0.6177475779565377,0.3330350121834811,0.11353499644041143,0.30781641220569095,0.6227507117798,0.06659978665114671,0.2939170742103017,0.3841920539888237,0.4565776877292274,0.7262270333046053,0.6148024202538118,0.480841634439973,0.38013977370203206,0.1113300232865797,0.5005187488607202,0.1388460923225595,0.9314323927992184,0.9530625870964154,0.012224338309038692,0.6501298989578597,0.8785318679397106,0.8563343206258689
LOCO_sqrt,569,316.2411298751831,0.4991258731001689,0.487372005234485,0.4958528335429265,0.4977146802773404,0.5036066013860625,0.49759080296439284,0.5017540278965485,0.47550065661398705,0.4978478316327963,0.5023248346084863,0.49616158285549283,0.49272943035387573,0.4975448784606296,0.5031475294621782,0.49029355274894376,0.49746504934080504,0.49845113678289,0.4991634673215494,0.503308878021278,0.5017579725108999,0.49898005043543014,0.493557535379784,0.4825949496471982,0.5000151134291652,0.4885469583783314,0.5085022440767665,0.515331950836606,0.4378740337792524,0.502409340079831,0.5072544941948188,0.5073406540582284
LOCO_n,569,316.2317192554474,0.48981655054941703,0.40401468101288673,0.4567297134953884,0.4768173601340629,0.5396465273750137,0.4744461035756881,0.5181506094848415,0.2728775180809915,0.4787575227050965,0.524602293461084,0.46051825260607954,0.4201159274954592,0.4720576635802053,0.5315145218986701,0.3950752399578819,0.4709880189622327,0.48253335264260544,0.49112302512041944,0.5370388171688929,0.5194355828922768,0.4918812061931536,0.44874539645170924,0.34514023788871284,0.5001461953321377,0.3879888997822704,0.5938945300245789,0.6530650303063058,0.13313466310555683,0.5264762486620618,0.5793214820409248,0.5788897203592425
LOCO_bt,569,316.5169589519501,0.4884544616705073,0.3303809601071912,0.4448065236259235,0.46942259076379683,0.5477869807455328,0.46791903770023346,0.5234292510453474,0.2044382630851399,0.47111716331845316,0.5309683433410354,0.4488118719970678,0.40440686868265396,0.4675349446023709,0.5421328881772403,0.373199727457995,0.46649900239666964,0.4794858986650969,0.48884979613129703,0.5437826823700009,0.5233253659346002,0.4859419375030725,0.411891705717248,0.2770880970749483,0.5002034725460076,0.34991655647416087,0.6113116200010379,0.6964975426382288,0.01420843444548293,0.5319696554920471,0.5954314501066891,0.59670716972674
