method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
S-CPI_sqd,442,5.158305406570435,0.5043900710173496,0.5121248370324903,0.49596360855824617,0.4939517450887089,0.5116907560878428,0.5086124583387751,0.4873847517501458,0.4719305096944081,0.495380611224826,0.5011505362175979,0.5030308606226337
S-CPI2,442,34.89594054222107,0.782918794533876,0.9122559670171984,0.0175006979158851,0.1685723201289101,0.7389161425247388,0.8781385504574335,0.3034055563930279,0.22865222793334844,0.03270240629625956,0.5660330838175589,0.545228255983802
S-CPI2_sqrt,442,34.73084735870361,0.7514274636938176,0.8736857277897474,0.015682790575224596,0.175610541983641,0.7820336936985273,0.8844299141979763,0.39623877349986447,0.23827516728596526,0.05173691151696735,0.5675785747719798,0.6138959420149347
S-CPI2_n,442,34.6016685962677,0.7626724193924266,0.912003890080014,0.023333443544633785,0.1760879609092637,0.7525491753125456,0.8849243968866827,0.3150486056839227,0.22444345090861156,0.03988350546046377,0.6115782204742143,0.5454939912318828
S-CPI2_bt,442,34.8361382484436,0.5042656929680515,0.5157448665216329,0.4972623439425326,0.4959295461695877,0.5077001688456791,0.5066266867857417,0.4963555182124136,0.4856754086415847,0.49695462029731213,0.5008394913549625,0.5031173266406319
S-CPI2_sqd,442,34.6424822807312,0.5045719759341312,0.5206193087166913,0.4974201739591291,0.496426710762073,0.5075712084381241,0.5063209840375861,0.4953455085829323,0.48300606521707307,0.4977788609293602,0.501980452160519,0.5027335120983868
LOCO,442,9.775898456573486,0.32550472139643993,0.2692290552947719,0.054574137612563314,0.3281859507268623,0.32564970622023753,0.5289818280678961,0.2152054943628618,0.1937035389561208,0.28230554171912936,0.2419328157303594,0.20519869924432393
LOCO_sqrt,442,9.770985126495361,0.3372877689354722,0.29776490734963823,0.059118463102030894,0.3360417071257544,0.34520239706004197,0.5260743261387785,0.24318739417445234,0.2324296859883746,0.2874841054656897,0.25854208526827155,0.23262880501298666
LOCO_n,442,9.769629955291748,0.3265910675827739,0.2719951206929807,0.054965821259253644,0.3288957309062628,0.32753145852869525,0.5287043086567265,0.21783792288998066,0.19742444719453262,0.28276388922351553,0.24345355353065345,0.20776375499809874
LOCO_bt,442,9.846728324890137,0.49778951948895217,0.4945259669055938,0.4973323585563408,0.4986697037594628,0.49635492378158486,0.5004087127743279,0.49383297473338605,0.4911477075238698,0.499084174467689,0.49559776087627483,0.49408580668224217
LOCO_sqd,442,9.841638326644897,0.49833020996294236,0.49316241395093896,0.49771532985819245,0.49870645780574197,0.4965086223215683,0.5006090876877245,0.49454904199021216,0.4906454273198302,0.4989362170377229,0.49662443916073695,0.49363461479056403
S-CPI_ST,442,2.135788917541504,0.7559888280845672,0.9999999999985437,0.007436298546321058,0.4312017456335963,0.6984768054355599,0.5687982543664036,0.6984768054355599,0.958754353737419,0.018514255032074236,0.1490353316957698,0.5000000000000003
S-CPI_Wilcox,442,2.1438393592834473,0.10120978997438473,0.20481070198321571,0.0030863107459038687,0.2686373198475924,0.06915830108574808,0.6692797961893557,0.3357561847957343,0.0354889751326433,0.0016723536914245826,0.7549839433771529,0.5124770318764207
LOCO_ST,442,9.788427352905273,0.30152319456444016,0.04124564626258096,0.018514255032074236,0.30152319456444016,0.007436298546321058,0.5687982543664036,0.36442696933679186,0.36442696933679186,0.5687982543664036,0.4312017456335963,0.36442696933679186
LOCO_Wilcox,442,9.788427352905273,0.21823412250233643,0.03885936375588434,0.013363388333030538,0.14791408631846037,0.022635166489949014,0.5255170373254576,0.1842080165088738,0.14441634457616137,0.3693777533318608,0.34591076120446007,0.28229115965945406
Semi_KO_ST,442,9.061483144760132,0.8169243635783016,1.0,8.259383924576353e-05,0.36960487517489954,0.9999992981050303,0.9999439886365658,0.941802126316511,0.9999997380676098,0.09949825457226916,0.0317341766188367,0.09949825457226916
Semi_KO_Wilcox,442,9.03906536102295,0.24892563152073788,0.18361791227913854,5.417866441015938e-05,0.19063488441704157,0.005530487696151624,0.47618235433125206,0.3161600288371149,0.6437425913176679,0.09339946788573178,0.8988184696494531,0.9527111242141835
dCRT,442,12.323572397232056,0.7791354042260622,0.00046607982385805,7.922213887865717e-11,7.849825621591851e-06,0.19612672855258717,0.5765620941496179,0.8427038875069494,0.4719755508238973,3.2155372514617724e-05,0.44149099452501805,0.892363139154868
HRT,442,1044.0801322460175,0.5925566343042071,0.8288025889967637,0.0,0.02977346278317152,0.7042071197411003,0.927831715210356,0.11715210355987055,0.20032362459546926,0.0,0.4,0.43106796116504853
Semi_KO_ST_perm5,442,31.350496530532837,0.6724519628292387,1.0,1.0661905567817135e-08,0.0011718905066745453,0.9999999999983972,0.9999999999978297,0.9999999999970667,1.0,0.24135350596681643,0.878992317910783,0.2156278784442787
Semi_KO_Wilcox_perm5,442,31.44879126548767,0.6359459097497815,0.007039260123459935,9.18637443230996e-12,2.772479004613303e-05,0.574812820904181,0.6342369318911927,0.288032021975546,0.5917589654284052,0.012907974246491219,0.19584373358951324,0.4030728586915693
Semi_KO_ST_perm10,442,59.36957049369812,0.44615955962534,1.0,3.9629617344409347e-20,1.9911063444963983e-09,1.0,1.0,0.9999999999999819,1.0,0.7212665491405368,0.7784909045191459,0.2040411083462093
Semi_KO_Wilcox_perm10,442,59.51380467414856,0.09706084949215582,0.004849009685424192,5.9517207956273435e-28,3.0036675138837335e-12,0.9278803082777543,0.793838879964841,0.4127018961497243,0.6570358656931351,3.7608333733296393e-06,0.1908457859379012,0.22600175741663814
