method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11
S-CPI_Wilcox,1599,2.991987466812134,0.12023583247356856,0.0038682961750019164,,0.3499486257280596,0.11460001152566823,0.6312622019682653,0.9514995088881429,,0.0054595024530476885,0.0004589469267864682,9.652674164143574e-09,0.6502307524551258
LOCO_ST,1599,3.010711908340454,0.07850553782829596,0.004603100171879015,0.998515239167668,0.5544479426611495,0.5544479426611495,0.9900866999144816,0.9900866999144816,1.0,0.44555205733885056,0.00015108773698489363,4.7049809083647017e-07,0.9544242660843578
LOCO_Wilcox,1599,3.010711908340454,0.03397487434595001,3.791586056286122e-05,0.998998955582978,0.6553960850880763,0.2037010275183193,0.9667137181326502,0.9983897531569641,0.21831236016940248,0.43326692567862235,0.0001132271338813589,4.600579622007109e-08,0.9928682898066958
Semi_KO_ST,1599,19.07858180999756,0.3445386608677058,2.5800967081427577e-10,0.6915106059583342,0.008167417500304001,0.015734986252594618,0.08843103072575607,0.8414203831895384,1.0,0.3631343019225591,0.002963409609885391,3.5501239818057316e-10,0.27419728957237033
Semi_KO_Wilcox,1599,19.01957654953003,0.4892211596494392,3.0547770095500077e-07,0.049509161338978695,0.5295265947641087,1.360317894203061e-07,0.017005493518501155,0.5409528760509805,,0.10188342362824465,1.0651067095881496e-10,9.687611293161764e-21,0.8243482082774135
dCRT,1599,0.2803976535797119,0.9044314955760764,0.3053960906019859,0.886450802533393,0.8913764841716855,0.6076935884896801,0.8685249101740169,0.859772588229487,0.9287800976142945,0.7996623792137583,0.3592407911919002,0.23920325213527982,0.9219372810316212
HRT,1599,58.25417494773865,0.016353887399463807,0.0,1.0,0.23449508489722967,0.018945487042001788,0.8073279714030385,0.9998212689901698,1.0,0.054691689008042894,8.936550491510277e-05,0.0,0.970420017873101
Semi_KO_ST_perm5,1599,84.62222385406494,0.41150529758828375,1.023019613417987e-22,0.38561095959864544,0.0005038214670083071,1.6095403912373147e-10,0.10116071882893442,0.2956959381073427,1.0,6.450374935281249e-08,5.887027966483411e-22,2.462564585114306e-40,0.4466203742364559
Semi_KO_Wilcox_perm5,1599,84.56680226325989,2.826094836900723e-05,1.4101653390689457e-53,0.01154462820768651,0.00021998835963314098,8.143141691968702e-28,0.21337152205914872,0.05256435626716704,,0.0003339177699601834,1.6255824895796597e-38,7.509270783441801e-74,0.01883766558051625
Semi_KO_ST_perm10,1599,166.66818690299988,0.028331972403752865,1.0730692843009256e-38,0.0005761770601356031,2.4830571395007608e-05,2.0093650840167507e-33,0.014240183394344297,6.674891379598152e-05,1.0,0.0003080483749163771,3.1713291287727162e-43,1.8775177126841368e-84,0.011613117200578041
Semi_KO_Wilcox_perm10,1599,166.32626700401306,0.02779958302629507,1.0258919825526761e-86,0.0011671391742041756,4.7848281462568875e-05,1.6912836229750043e-47,0.0002972934383393871,0.41889415637710725,,4.134793469590413e-08,3.5862625886477367e-78,7.254982004370355e-148,0.004635492989645772
