method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
S-CPI_sqd,569,13.802680730819702,0.49858096771297655,8.148535149012515e-40,0.7790868279691499,0.8312025827169667,4.316852823959941e-09,0.005081332795537819,6.377604641461261e-43,0.0,4.4857634957109655e-17,1.0,1.0,1.527478664901962e-11,0.8938683813750763,1.0673864485129371e-194,1.0,5.939092957900222e-13,0.9809147975929733,0.9997126127689728,7.61019333952525e-32,0.039819225240586745,2.194005016138347e-23,0.5334626571921913,3.0057283539335225e-19,0.9204262068042028,3.640938675244535e-43,0.008367340908227877,1.2116024285960837e-81,1.0,1.7707118770995838e-21,3.177364882662616e-20,1.0
S-CPI2,569,88.10102605819702,0.1579456623476832,0.21117431057565794,0.8437951242862045,0.5198323316169577,0.11356757910939153,0.15214697117891007,0.04206397159343031,0.39887488179593755,0.252322132669755,0.896551223253744,0.8493163160800719,0.04057352701031664,0.4799598943206012,0.04785000091044946,0.9698543283099417,0.09167432833859451,0.9062989548690066,0.7015355211237375,0.1024254841878281,0.4228011873218926,0.22000931951708458,0.5596833019556482,0.10843105285316174,0.7913827660362276,0.0345606328223754,0.22492632150174768,0.2572515538805579,0.757123088583903,0.10931013035521397,0.13097437685518898,0.8295528149329898
S-CPI2_sqrt,569,88.18223476409912,0.4999992328284574,0.49730241846561873,0.5002411247465564,0.5000939698851069,0.4990528779454986,0.4995387451028786,0.4973791379498313,0.4926272054668533,0.4984761958170922,0.5025606212782978,0.5027433589368372,0.4987800774039343,0.5000672022400513,0.493326001884751,0.515795520581776,0.4986559861162047,0.5004924776490824,0.500995276875131,0.49770055524367324,0.49967903831634275,0.49842530480370256,0.5000615047071123,0.49876806790745043,0.5004893284808614,0.49702585524184145,0.49944454490636153,0.49762013268080274,0.523565818856533,0.4982066332141777,0.4981955461989901,0.5146885903859884
S-CPI2_n,569,88.36305284500122,0.49999096228620554,0.4601831527377671,0.5030050165224748,0.5014979585436901,0.4890695856085725,0.49396248643584506,0.471361427637384,0.44509014978952066,0.4785692157697544,0.5283267709799089,0.5342626874952995,0.48320977923869635,0.4990890858518234,0.4197700120970246,0.6579957183229446,0.48430510241839836,0.506245646144189,0.5101280262141433,0.4729816121685486,0.4982286654061262,0.4820062342342856,0.5017416577650375,0.48240114452847993,0.5057476871922117,0.4703575042353874,0.49401582092112306,0.47053334595559043,0.645210130639474,0.47888089159656816,0.4777254005232258,0.6193746627396172
S-CPI2_bt,569,88.42231559753418,0.4999938459995109,0.45524991291449635,0.5032441427394005,0.5006291473517057,0.48723413843350544,0.4929581849179245,0.46761626727531785,0.42700223043197266,0.4725641932075656,0.5318531217369483,0.5358764269760525,0.48190364784731865,0.4996453667852704,0.4057586612481085,0.6938487040508554,0.48318869482435084,0.5063814711665178,0.515348859311034,0.4727894146305549,0.4973276947845082,0.48053880000586,0.5049553839422766,0.4791154112559745,0.5047821528698537,0.46087527684270946,0.49299345853651283,0.47194789333578224,0.773688628531013,0.4763893075306434,0.4788080809921059,0.6631069957106899
S-CPI2_sqd,569,88.2544252872467,0.4989476671368097,2.3216719024550718e-77,0.9115263068300752,0.7717953177061094,8.774319222731943e-09,0.00125066210686998,1.1617608277063131e-36,7.830504294678803e-94,4.053431542543017e-44,1.0,1.0,1.4019031863318135e-13,0.17344145910570347,2.55570237983152e-275,1.0,3.7186961223657225e-13,0.9984860653523219,0.9999999995238453,5.353797446718346e-34,0.047674619335151006,3.2892326247646235e-19,0.9897337722939438,1.741455347305154e-23,0.9953990761730593,1.8435228348252888e-44,0.0007911305930454614,2.0251190140140796e-29,1.0,2.1248851282074085e-29,3.8629650280881074e-22,1.0
LOCO,569,38.56702709197998,0.9200188521483592,0.9358079967836808,0.9300936593320304,0.9420542106474252,0.944160493082369,0.9291288017489122,0.9502214765852472,0.7143677205873011,0.9097969757015558,0.9923863762848775,0.9881309668918685,0.9836665069925992,0.9943213306845052,0.8982328873210557,0.9759688951206631,0.9868129446955394,0.9743997427060168,0.9889008002253268,0.981602136227307,0.9705777608711708,0.9362704806490584,0.5132097644909978,0.882663205113817,0.980385687417735,0.9341569674899185,0.9201024749480324,0.5212880253154091,0.9352762921779479,0.9239370831834341,0.9354903340272213,0.012523079699891226
LOCO_sqrt,569,38.55169415473938,0.5086881982808469,0.5149775775799843,0.5108390239161342,0.5109599019058794,0.5112789927985296,0.5104757314359479,0.5113670275849411,0.5112330609505579,0.5127719874491565,0.5186960210794103,0.5142113197155649,0.510933417080623,0.5145849466034088,0.509710802690601,0.518478209904071,0.5124073805948571,0.5111311789315902,0.5101508878362665,0.5103227158823869,0.5093947517843693,0.5103231304236252,0.5002658323894451,0.5091447353502635,0.5112154461249687,0.5132795797532721,0.506696268716958,0.5003372567384267,0.532463374815617,0.5074666756535272,0.506258164261125,0.40651898904330575
LOCO_n,569,38.543856143951416,0.5947970577003634,0.647374743129366,0.6143659515172553,0.6166447107652449,0.6195915237122848,0.6112009313540123,0.621048849145716,0.5909779019633193,0.6273783477621492,0.6904361128292898,0.6522637027826026,0.6218471749326342,0.6580518447044821,0.6020110327376413,0.6816190407423128,0.636044905861882,0.6221503311948713,0.615371296931488,0.615752651698028,0.6055262297369606,0.6105795773905067,0.5027966370933585,0.5960496944892721,0.6238784097418871,0.634462172489004,0.576065939508746,0.5037021592032106,0.7408859909635348,0.583709672152418,0.5723573753978917,0.08697490861182638
LOCO_bt,569,38.816595792770386,0.6138069678713073,0.6926336372826267,0.6413005889189874,0.6426798965620913,0.6466897118210676,0.6366870215225139,0.647707972404961,0.6506288466623071,0.6659718067338214,0.734015728518038,0.6820125396546809,0.6417173500363432,0.6862107579391381,0.6272155837669895,0.7324616999660981,0.6600152082920288,0.6443724688881773,0.6317501684727851,0.6340591655249253,0.6224176188667413,0.6346544968644909,0.5035468390907805,0.6200501416183948,0.6453212971628498,0.6718741591038185,0.5878972537136813,0.5044806251182853,0.869501918960605,0.5979277717277277,0.5821018116543895,0.00029380875326047543
LOCO_sqd,569,38.824904680252075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9296756218234019,1.0,1.0,1.0,1.0,0.969774747849342,1.0,1.0,1.0,0.0
S-CPI_ST,569,6.069895029067993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S-CPI_Wilcox,569,6.099663019180298,,0.39302006347314566,,0.5,0.12148118553867121,0.12443193746896103,0.0653325447978833,0.028586458235476512,0.27240928716205076,0.7031908796027085,0.6424996726559553,0.023133008736423395,0.8365053252009924,0.00045112761800022885,0.9247025009909371,0.31871748205550154,0.9101437525605001,0.162536678607047,0.3208022151110673,0.537520061683595,0.6570847827741971,0.3416195358132955,0.446369200472174,0.7505188506981195,0.001176918865216299,0.7673955907739292,0.005296769544344748,0.34723557029897123,0.1310893500684568,0.3000660362533335,0.5
LOCO_ST,569,38.58383536338806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,0.9999999999912955,1.0,1.0,0.9999999999734988
LOCO_Wilcox,569,38.58383536338806,0.9543607703336979,0.8253863233067864,0.9421717443460277,0.9542697608085899,0.9463335167420548,0.890907666174477,0.9655770955173012,0.613997210153223,0.7104603880847608,0.7365106566776247,0.8793934035602414,0.9024925917215629,0.9554691791793063,0.9128826063003358,0.8260321150887004,0.9118040743369609,0.8499103174113076,0.9315412462781447,0.9618043086670587,0.7747854366461315,0.5046336631344386,0.2767193183911112,0.6186558472449778,0.8618246141968082,0.6952861040717057,0.7375933527379516,0.10676393182497279,0.23926617150734608,0.6544290386728214,0.7618648600811008,0.01532195293615135
Semi_KO_ST,569,27.797427892684937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Semi_KO_Wilcox,569,27.82549810409546,0.5832579978055203,0.38035735100241996,0.6234238176170428,0.1136179145269508,0.6022245741710215,0.30169948356060705,0.5629746557909319,0.19861022364066833,0.9212285235115631,0.25835694947180254,0.17365011707760813,0.6632598350273494,0.2045342116996603,0.6776950877166071,0.3882453174939684,0.32645905340245285,0.932603010850447,0.4075323450512687,0.3229084790576241,0.3038205784640454,0.5484307936880831,0.3686247438578383,0.21346916270196659,0.2361733490051312,0.0027386600703462405,0.10216512366953312,0.5444466434555901,0.738011581594198,0.4466161986729525,0.1809369596396223,0.13386671111432003
dCRT,569,58.842214584350586,0.478151278140833,0.7737923010556581,0.37837614965916044,0.5311327077974228,0.7355671700798161,0.0845193820490301,0.020885369173088822,0.8674740427567882,0.95149328848592,0.466449383725418,0.8475299270141354,0.19712397822968175,0.9540821310101086,0.5345461678932444,0.10342361031913237,0.5840885967516499,0.03498431307092932,0.06553771380764743,0.7073193276433557,0.3457396214630628,0.7057878263165966,0.05468876284111409,0.8818104632760406,0.9673482855224528,0.8552138332220744,0.6123564486706023,0.7015959855481473,0.5947629473099385,0.07647117615641393,0.15920207167879197,0.9656620123720632
HRT,569,3311.3494172096252,0.9263819095477387,0.2552763819095477,0.9773869346733668,0.6195979899497488,0.14673366834170853,0.11457286432160804,0.07236180904522613,0.19321608040201005,0.18040201005025125,0.9095477386934674,0.9321608040201005,0.030402010050251255,0.5623115577889447,0.024120603015075376,0.9944723618090452,0.006532663316582915,0.9625628140703517,0.6922110552763819,0.02437185929648241,0.37889447236180906,0.1708542713567839,0.5050251256281407,0.1120603015075377,0.6640703517587939,0.06281407035175879,0.19824120603015075,0.22964824120603014,0.4871859296482412,0.21884422110552765,0.04472361809045226,0.7645728643216081
Semi_KO_ST_perm5,569,102.66259789466858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Semi_KO_Wilcox_perm5,569,102.34541583061218,0.08598229034157756,0.5003083721547501,0.9363575980855448,0.18774375997503834,0.6349506974097328,0.056117430570456324,0.41467890607305846,0.0018542111428595512,0.4613703753391359,0.9553597884697714,0.8395890600644595,0.5198642214407029,0.8888636422282838,0.11878956334969815,0.019571267771973412,0.9121419288701513,0.5733718712875165,0.7796981686763993,0.6334162488010827,0.8662933616560177,0.11782877463355029,0.5386391305391389,0.1464510913335797,0.8979444685591591,0.6446466972764537,0.06537608490595674,0.14879463740240895,0.7846996256742922,0.2724824603957683,0.8873542060211768,0.7411858102778583
Semi_KO_ST_perm10,569,195.2487394809723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Semi_KO_Wilcox_perm10,569,194.13100171089172,0.6802780276320992,0.16884693276308727,0.5887927434645717,0.1360558717470819,0.4559679884946744,0.16599724477662375,0.051446713715527066,0.22144627746300827,0.8053042996822694,0.8718470297758376,0.4628772397526562,0.5156409500519042,0.3231909804260189,0.7495355259472786,0.058753072699569,0.30230351229219776,0.18558020983539575,0.9497320301575806,0.20102504943521454,0.8028219678990718,0.003525541775738107,0.018865804722568002,0.46797944246776296,0.9731493785841503,0.04897405767213909,0.7964646628707563,0.023172675372097468,0.041950412348168535,0.5574762023195428,0.28213706311728226,0.5132265715261461
