method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
S-CPI2_n,20640,40.03941750526428,5.304875859000734e-171,4.622451954091465e-09,2.6014973857787992e-11,2.617167443209884e-17,0.49463352964253,9.24892654005582e-05,5.543411452583882e-51,4.020267020185685e-45,0.49344160256901565
S-CPI2_bt,20640,102.06256318092346,0.0,0.0,0.0,0.0,0.49483444121394626,8.402550392585388e-09,0.0,0.0,0.4937450404486464
S-CPI2_sqd,20640,100.08108901977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCO,20640,37.932862758636475,2.5656979688465685e-177,4.749916586930649e-06,2.0204622515779586e-12,6.750048259911118e-21,0.9982606168478083,8.929212489948119e-32,1.4115127784273727e-52,1.8560127116269545e-48,0.19270460989285415
LOCO_sqrt,20640,37.81154012680054,2.8038921798016272e-31,0.29885725786830686,0.290703309716812,0.1852856392939104,0.5002495370756811,0.46989160426085735,4.2351366182156566e-05,6.841128331916178e-05,0.49994583986676466
LOCO_n,20640,37.75069236755371,4.86966651087542e-171,2.582841851051326e-05,7.424015781189982e-10,4.697403830079828e-17,0.5193071254369159,3.819973003799679e-05,4.379737552045973e-49,2.6687271890351344e-45,0.49578942238567647
LOCO_bt,20640,96.1637806892395,0.0,0.0,0.0,0.0,0.5196321624662691,1.0966694107249599e-09,0.0,0.0,0.49573759358066716
LOCO_sqd,20640,96.21357226371765,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S-CPI_ST,20640,39.36824679374695,1.8193916847205437e-170,0.0004148106362641829,1.7727071655284302e-16,8.887823044042942e-21,0.1639056533786104,3.895395717667867e-15,2.6208555060327085e-58,1.0971373260535575e-51,0.002908452981049202
S-CPI_Wilcox,20640,39.417065382003784,6.357405681820895e-268,6.790373736697719e-08,1.6056921149156559e-31,2.3441994509270924e-32,0.29212902086588277,2.033679819637062e-21,9.993880109428657e-93,1.9808554604139905e-91,0.08084092027018658
LOCO_ST,20640,37.81462073326111,4.4882539694883266e-186,0.9998045439659825,1.1110864076036894e-26,1.2174696159791026e-45,0.9999999753663867,4.0889056797610173e-29,1.2709039652653996e-25,8.209382459978548e-38,0.12902011477953337
LOCO_Wilcox,20640,37.81462073326111,1.6680607339639805e-254,0.7954461583805494,4.604780228098942e-43,3.089702458135311e-65,0.9999999988407563,1.0899106330523664e-43,2.210592760893204e-51,5.1694321042789065e-54,0.1653563131081494
Semi_KO_ST,20640,179.47705054283142,0.0,7.583784369280912e-09,1.5151694692960551e-18,4.968213274843842e-32,0.04537710764404726,2.328628768725216e-05,2.477833958791674e-159,1.810863668704647e-105,0.1225329043090277
Semi_KO_Wilcox,20640,178.1503131389618,0.0,4.188946253508369e-21,4.552717128578703e-37,2.752891515608209e-52,0.39069035152981557,6.0568846687237594e-05,3.020407127516341e-240,1.0323928926681988e-213,0.8483991905687245
dCRT,20640,8.011313438415527,2.0959041904891004e-227,2.5844159847691865e-12,1.6717531849200697e-09,4.267882886599919e-14,0.9182991552307262,0.008878296277203218,6.368348070899608e-73,1.9273761440236137e-71,0.9047447977982801
HRT,20640,1191.058779001236,0.0,0.0,0.0,0.0,0.08770071982281284,0.0,0.0,0.0,0.07748477297895903
Semi_KO_ST_perm5,20640,871.0793979167938,0.0,1.4153919209268302e-38,1.572223464360928e-98,4.732851692728918e-139,0.06879342614199965,1.8129137983151386e-13,0.0,0.0,0.00013686320123067438
Semi_KO_Wilcox_perm5,20640,880.3541107177734,0.0,4.748619044319715e-74,6.00037494827637e-172,1.1371396423059803e-244,0.017235875607063647,3.5115123663367465e-13,0.0,0.0,0.13310193106701423
Semi_KO_ST_perm10,20640,1754.8654499053955,0.0,1.645724506741459e-80,1.789364673940603e-195,2.2047669330037213e-289,0.0011838067088842383,1.8120706186583488e-19,0.0,0.0,4.42321756345342e-05
