method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11
LOCO_sqrt,4898,10.47900938987732,0.5117438676953384,0.1261429493216371,0.5011757571715894,0.4429930954134982,0.5000000025540252,0.46901819310041215,0.5031208605753755,0.499999999999998,0.48615938926707136,0.49259098066548423,0.000279351194879512,0.5037474156740919
LOCO_n,4898,10.448866367340088,0.6151539985800686,4.079457740736244e-05,0.5391552887987217,0.10525161315487952,0.5000000979227708,0.17402732463612536,0.5557099039601227,0.49999999999992434,0.22675783095284324,0.4257940330220921,1.3196795614788204e-18,0.5728502031392277
LOCO_bt,4898,15.157251119613647,0.8878187211787326,0.0,0.5451628887188299,1.0182098157686975e-09,0.5000000979228054,0.000802422188928463,0.621384385224234,0.49999999999992434,0.08721809410050035,0.22202903288032594,0.0,0.6441018143011767
LOCO_sqd,4898,15.109270572662354,1.0,0.0,1.0,0.0,0.5001439465208962,0.0,1.0,0.4999999998888036,0.0,0.0,0.0,1.0
S-CPI_ST,4898,10.231728553771973,0.5724300002991889,1.475389080811837e-06,0.9498422556773198,0.0015963118628992419,1.0,0.14245109816420173,0.9314632065803444,1.0,0.00659651981926012,0.2406558111541427,4.629912263526507e-16,0.34782042014006015
S-CPI_Wilcox,4898,10.227105379104614,0.6219392591037296,6.446190766214312e-10,0.9675659223544685,0.0008305212938833807,,0.17171017303679448,0.45553951997616093,,0.015198182606673081,0.11799069035898657,7.075452245199106e-24,0.18111872711678584
LOCO_ST,4898,10.537454843521118,0.6898895442187868,0.01729784601371535,0.5927891617687435,0.00659651981926012,0.5311820908553502,0.42756999970081117,0.5518761473948144,1.0,0.06853679341965553,0.0834215799091454,0.0101197382575762,0.5104034537033262
LOCO_Wilcox,4898,10.537454843521118,0.7497072401592799,0.0004643758355856219,0.6568732982204578,0.004109373250849528,0.8273659005216476,0.2695331095347607,0.7144080845521203,0.13942399070488437,0.015974656367014336,0.18694932986621043,1.4148761063917772e-12,0.7504099293920915
Semi_KO_ST,4898,61.58688306808472,0.8930886326961032,9.900023620224702e-15,1.0,6.640929574441385e-08,1.0,0.08732082352355815,0.05016663778097333,1.0,0.00016714267467038584,0.02686205145375804,1.0975385584889561e-12,0.06676341648839591
Semi_KO_Wilcox,4898,61.042722940444946,0.8341542150217942,2.5467866892594993e-19,,5.67238596923416e-17,,0.0001625804405237539,0.25927773284369793,,6.957091719015318e-07,1.9672508852766814e-06,4.4785738008058817e-23,0.061124653641075895
dCRT,4898,0.7898335456848145,0.7173606493881006,0.03713078817108231,0.9792752723583675,0.20759372441365953,0.9527163649030393,0.6709868981563692,0.8626518335836124,0.3150504380059741,0.41579354495727694,0.4426604095798661,0.3018507445319619,0.8731683662293873
HRT,4898,241.16827082633972,0.17024504084014003,0.0,0.7095682613768961,2.9171528588098018e-05,1.0,0.015519253208868145,0.4136522753792299,1.0,0.023162193698949826,0.04830805134189031,0.0,0.4870478413068845
Semi_KO_ST_perm5,4898,290.19885420799255,0.8541413776179357,3.778586868788071e-90,1.0,3.895045767345023e-37,1.0,1.1703495861737145e-07,0.08277433053794699,1.0,4.422293948513834e-08,8.296835196101626e-08,7.728401960269341e-66,0.6082543483457041
Semi_KO_Wilcox_perm5,4898,290.163076877594,0.9841090510521681,6.273732860248009e-135,,1.230850483841299e-60,,1.3569305130694646e-08,0.44257672793808395,,5.089967523415688e-19,9.432851143945586e-13,5.12044053745543e-110,0.2914950556223812
Semi_KO_ST_perm10,4898,574.9784119129181,0.9923759910644,7.602560674412214e-166,1.0,2.11530079288248e-56,1.0,1.1464992846760132e-07,9.382135075548832e-06,1.0,5.285825588220039e-14,1.900254320394176e-17,8.772689771980287e-118,0.1283690774574738
Semi_KO_Wilcox_perm10,4898,577.6048119068146,0.794150422058111,8.94480370700909e-278,,2.0912390530318987e-84,,6.4343264663274416e-09,0.023150340239664138,,1.0306519204054013e-22,7.654792681791645e-35,3.38735304165575e-235,0.011716222995483971
