method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
S-CPI_sqd,442,1.125389575958252,0.5,0.4918420165839646,0.4945994763909558,0.4926349019079658,0.5,0.4703310528901853,0.49014067641166076,0.5,0.49554954294854325,0.5025247548236423,0.4771118840769661
S-CPI2,442,1.2894725799560547,0.32250025547608724,0.06864800562590412,0.006034957022785899,0.06458301887566663,0.32250025547608724,0.26679286021198556,0.14640035966272125,0.32250025547608724,0.028777973104456935,0.6283270743160534,0.36627745268472744
S-CPI2_sqrt,442,1.285034418106079,0.49999999999994416,0.08161733977596392,0.0034298830245843813,0.06855982030763898,0.49999999999994416,0.3460810645826573,0.15843173901100316,0.49999999999994416,0.01732334592852721,0.5863537268039939,0.3485408615532667
S-CPI2_n,442,1.2841427326202393,0.49999999999935574,0.06086198425475044,0.0027045962451455892,0.07033474504383265,0.49999999999935574,0.3057082857173501,0.20537245113199432,0.49999999999935574,0.027200454254804475,0.5311696728527332,0.28710603239798793
S-CPI2_bt,442,1.358839988708496,0.49999999999935574,0.4919481698847146,0.49578027347462633,0.49410612153392663,0.49999999999935574,0.4774652363861479,0.49437709926622014,0.49999999999935574,0.4967198505339118,0.5069916516847033,0.47721188329431297
S-CPI2_sqd,442,1.361637830734253,0.499999999914312,0.49157125533542045,0.49601070592220675,0.4944730127353126,0.499999999914312,0.4786781239748404,0.4944515636543784,0.499999999914312,0.49488777830680475,0.5064535366969612,0.4866480223379536
LOCO,442,1.0416114330291748,0.7711226035330296,0.06421091412003246,0.004444733536700351,0.05660903534095305,0.4529364045363282,0.8430797547691611,0.9162961790946763,0.7530562572928187,0.05832453536760536,0.5726558360660605,0.24554585939635115
LOCO_sqrt,442,1.0394904613494873,0.7414473385581836,0.08370582311996827,0.005466761304994016,0.0679619027141711,0.4999921813674236,0.6480691255725893,0.8948475757380887,0.7251653749544354,0.06740937854476285,0.5527942787224985,0.3128822722578106
LOCO_n,442,1.0381360054016113,0.7682973278706636,0.06588960607822555,0.004528154899661593,0.05758251135081675,0.49990998826430155,0.8108811872509236,0.9144176469801202,0.750393163461681,0.05910573732094382,0.5703636305149355,0.25307995060802335
LOCO_bt,442,1.1153225898742676,0.5075518337834146,0.4892811588275614,0.4960169731535061,0.49265666466222957,0.49990981636654563,0.6122988848939314,0.5096449038752431,0.5057137386007187,0.49488739545513505,0.5049071613706076,0.4790883391686098
LOCO_sqd,442,1.1126129627227783,0.508312266594836,0.49022489148781384,0.49503890394111333,0.49386989066248566,0.4880096234932283,0.6177188338317314,0.5079566308562282,0.5055224431610618,0.4946090813895573,0.5051763912259184,0.48159078741224143
S-CPI_ST,442,1.0273048877716064,1.0,0.24401117191543278,0.028013940919450156,0.11231496492918135,1.0,0.9174583054221064,0.19297937717053937,1.0,0.004515245343609975,0.5687982543664036,0.30152319456444016
S-CPI_Wilcox,442,1.0418224334716797,,0.06156788810455679,0.00011268706008908215,0.15826051480241587,,0.6865352225970685,0.01574211378372606,,0.00010974028585804347,0.14824089262529955,0.09733304705051393
LOCO_ST,442,1.0550975799560547,0.9925637014536789,0.08254169457789359,0.018514255032074236,0.08254169457789359,0.08254169457789359,0.24401117191543278,0.9954847546563901,0.8876850350708186,0.7559888280845672,0.19297937717053937,0.30152319456444016
LOCO_Wilcox,442,1.0550975799560547,0.8515665521083804,0.022038232130329943,0.00882950352455083,0.027632094511980985,0.26070387052944655,0.3054901955200031,0.9626290648533861,0.8436298434778691,0.34508287644190694,0.4107161111372552,0.17653789897628108
Semi_KO_ST,442,7.210842609405518,0.5567242019585869,0.0013448303628036506,1.655651784555516e-05,0.0033190088163749906,0.6656817784442948,0.07012698737662927,0.36960487517489954,0.8169243635783016,0.007589776966828797,0.5189650193295274,0.158929524163225
Semi_KO_Wilcox,442,7.2245471477508545,0.6282825890357222,0.0070169824914757825,1.7778184292007649e-09,1.552065040348821e-05,0.04756680930365546,0.2268294243326765,0.25581845209871423,0.9664351299237155,0.049744786725639596,0.3091975562630831,0.23077291682899548
dCRT,442,0.25852298736572266,0.9505237676842359,0.18604871039694038,0.008112189179548092,0.1012551654212025,0.5250927806619875,0.6348790509901532,0.9002672491032253,0.7462337856913088,0.13940578453964542,0.7266269580002639,0.7675091530627175
HRT,442,15.708012342453003,1.0,0.007766990291262136,0.0,0.0035598705501618125,1.0,0.22297734627831714,0.03171521035598705,1.0,0.0,0.4686084142394822,0.23721682847896441
Semi_KO_ST_perm5,442,25.91383385658264,0.9345254084073948,2.890601752111589e-06,8.663239263202274e-18,8.32663470604382e-09,0.001550009288381103,0.00909873492874261,0.9760634482894539,0.03528331841545185,3.727280320485698e-10,0.12978333573265666,0.878992317910783
Semi_KO_Wilcox_perm5,442,25.93643307685852,0.20800242602785368,0.00015375805563702847,3.08979446196818e-25,1.8789274396542926e-12,1.1993937139287392e-05,0.0005697543238136549,0.8260400640437857,0.2893152939984175,3.528877998971225e-11,0.21612708607163833,0.008965179517388783
Semi_KO_ST_perm10,442,49.49858212471008,0.1296362342055429,8.269076129688289e-13,5.058298744111881e-37,6.796443228787029e-17,0.00020350157173907823,0.0029533024820882214,0.39909138324046195,2.9446068258579645e-05,3.622380833128008e-14,0.002233093097500287,0.2126703967203486
Semi_KO_Wilcox_perm10,442,49.29477500915527,0.9552999681246722,1.5252784238683158e-17,3.2362045764910864e-56,3.013669119948656e-26,0.0003990720608270273,2.2619453714252676e-05,0.3945853259425839,0.0009364451769744477,2.0704975618613845e-35,0.026676004111359786,0.00013283489957959102
